Assemblage,Gulf,Habitat,Individuals,Order.q,qD,qD.LCL,qD.UCL
GB_Coral_reef,GB,Coral Reef,1,0,1,1,1
GB_Coral_reef,GB,Coral Reef,149,0,68.94972809,67.2162607,70.68319548
GB_Coral_reef,GB,Coral Reef,297,0,101.761314,98.81027991,104.7123481
GB_Coral_reef,GB,Coral Reef,445,0,124.8120412,120.898747,128.7253353
GB_Coral_reef,GB,Coral Reef,594,0,142.7340122,137.9892139,147.4788105
GB_Coral_reef,GB,Coral Reef,742,0,157.1958813,151.7167455,162.6750171
GB_Coral_reef,GB,Coral Reef,890,0,169.3561446,163.2117715,175.5005177
GB_Coral_reef,GB,Coral Reef,1038,0,179.8341478,173.0796549,186.5886408
GB_Coral_reef,GB,Coral Reef,1187,0,189.0894762,181.7659456,196.4130067
GB_Coral_reef,GB,Coral Reef,1335,0,197.2721713,189.4199071,205.1244355
GB_Coral_reef,GB,Coral Reef,1483,0,204.641289,196.289521,212.9930569
GB_Coral_reef,GB,Coral Reef,1632,0,211.3812859,202.5498716,220.2127001
GB_Coral_reef,GB,Coral Reef,1780,0,217.5082996,208.2179922,226.798607
GB_Coral_reef,GB,Coral Reef,1928,0,223.1509493,213.4142921,232.8876066
GB_Coral_reef,GB,Coral Reef,2076,0,228.3726594,218.1977873,238.5475316
GB_Coral_reef,GB,Coral Reef,2225,0,233.2553217,222.643479,243.8671643
GB_Coral_reef,GB,Coral Reef,2373,0,237.7740623,226.7287549,248.8193697
GB_Coral_reef,GB,Coral Reef,2521,0,241.995898,230.5144125,253.4773835
GB_Coral_reef,GB,Coral Reef,2670,0,245.974167,234.0477247,257.9006093
GB_Coral_reef,GB,Coral Reef,2671,0,246,234.0705449,257.9294551
GB_Seagrass,GB,Seagrass,1,0,1,1,1
GB_Seagrass,GB,Seagrass,61,0,31.1210617,30.09258508,32.14953833
GB_Seagrass,GB,Seagrass,122,0,44.91880979,43.12592335,46.71169622
GB_Seagrass,GB,Seagrass,183,0,53.82099142,51.43171436,56.21026848
GB_Seagrass,GB,Seagrass,244,0,60.47800514,57.58438149,63.37162878
GB_Seagrass,GB,Seagrass,305,0,65.84149174,62.50137511,69.18160838
GB_Seagrass,GB,Seagrass,366,0,70.34933883,66.60595195,74.0927257
GB_Seagrass,GB,Seagrass,427,0,74.2414532,70.13025235,78.35265405
GB_Seagrass,GB,Seagrass,488,0,77.66580674,73.21672106,82.11489243
