collection_code,event_id,catalog_number,occurrence_id,scientific_name,identification_qualifier,individual_count,class,feeding_type,life_mode,habitat
GG,GG_GG01R1,1,CIM-UH_GG_1,Ailinzebina elegantissima,,4,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,2,CIM-UH_GG_2,Atlantilux exigua,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,3,CIM-UH_GG_3,Atys, spp.,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,4,CIM-UH_GG_4,Barbatia domingensis,,7,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG01R1,5,CIM-UH_GG_5,Caecum antillarum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,6,CIM-UH_GG_6,Caecum donmoorei,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,7,CIM-UH_GG_7,Caecum plicatum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,8,CIM-UH_GG_8,Cerithiopsis academicorum,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,9,CIM-UH_GG_9,Cerithiopsis, spp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,10,CIM-UH_GG_10,Cerithium eburneum,,6,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG01R1,11,CIM-UH_GG_11,Cerithium litteratum,,24,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG01R1,12,CIM-UH_GG_12,Coralliophila salebrosa,,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,13,CIM-UH_GG_13,Crassispira dysoni,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,14,CIM-UH_GG_14,Cratis antillensis,,1,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG01R1,15,CIM-UH_GG_15,Eoacmaea pustulata,,10,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,16,CIM-UH_GG_16,Eulithidium bellum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,17,CIM-UH_GG_17,Eulithidium, sp.,25,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,18,CIM-UH_GG_18,Falsuszafrona pulchella,,5,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,19,CIM-UH_GG_19,Granulina antillensis,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,20,CIM-UH_GG_20,Granulina molinai,,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,21,CIM-UH_GG_21,Haminoea elegans,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,22,CIM-UH_GG_22,Hemimarginula dentigera,,3,Gastropoda,Herbivores/Carnivores,Benthic,coral reef
GG,GG_GG01R1,23,CIM-UH_GG_23,Iniforis turristhomae,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,24,CIM-UH_GG_24,Isotriphora taenialba,,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,25,CIM-UH_GG_25,Meioceras cornucopiae,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,26,CIM-UH_GG_26,Meioceras nitidum,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,27,CIM-UH_GG_27,Neotiara nodulosa,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,28,CIM-UH_GG_28,Nototriphora decorata,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,29,CIM-UH_GG_29,Parvilucina ,spp.,1,Bivalvia,Chemosymbiont,Benthic,coral reef
GG,GG_GG01R1,30,CIM-UH_GG_30,Planktomya henseni,,1,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG01R1,31,CIM-UH_GG_31,Pseudostomatella erythrocoma,,4,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,32,CIM-UH_GG_32,Rissoina dyscrita,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,33,CIM-UH_GG_33,Schwartziella vanpeli,,1,Gastropoda,Herbivores,Benthic,coral reef
