sample,date,estuary,area,station,layer_depth,season,chlorophy_microg_l,cond_microsiemens_cm,depth_m,do_percent_sat,do_mg_l,sal_psu,sp_cond_microsiemens_cm,turbidity_fnu,temp_c,latitude,longitude,dic_micromol_kg,ta_micromol_kg,dummy_data
CDL01S,5/3/2020,Candelaria,River,CDL01,Surface,Dry,0.36,7015.4,0.464,93.9,7.12,3.56,6547.7,1.47,28.74,18.55736,-91.25012,3915,3863,3685
CDL01F,5/3/2020,Candelaria,River,CDL01,Bottom,Dry,4.19,29886.1,7.792,70.1,4.9,16.97,27751.2,95.33,29.028,18.55722,-91.2499,3698,3685,
CDL02S,5/3/2020,Candelaria,River,CDL02,Surface,Dry,0.92,16691.1,0.453,95.9,6.99,8.94,15429.1,5.5,29.283,18.61007,-91.2441,3724,3708,3708
CDL02F,5/3/2020,Candelaria,River,CDL02,Bottom,Dry,2.23,24847.4,1.261,91.5,6.52,13.87,23074,13.44,29.024,18.61005,-91.24403,3667,3992,3992
CDL03S,5/3/2020,Candelaria,River,CDL03,Surface,Dry,0.58,46341.6,0.465,93.4,6.24,28.06,43670.8,3.6,28.202,18.63166,-91.29359,2928,3023,3023
CDL03F,5/3/2020,Candelaria,River,CDL03,Bottom,Dry,22.49,39453.4,1.867,1.7,0.12,24.01,37919.1,108.11,27.118,18.63163,-91.29297,2752,2849,2849
CDL04S,5/3/2020,Candelaria,Plume,CDL04,Surface,Dry,0.98,51682.3,0.474,103.3,6.85,32.46,49690.8,3.34,27.098,18.67964,-91.34973,2672,2828,2828
CDL04F,5/3/2020,Candelaria,Plume,CDL04,Bottom,Dry,4.83,51790.8,2.779,94.8,6.33,32.93,50319.5,14.24,26.531,18.67966,-91.34956,2613,2818,2818
CDL05S,5/3/2020,Candelaria,Plume,CDL05,Surface,Dry,1.62,51497,0.442,100.6,6.71,32.62,49892.1,6.1,26.684,18.70429,-91.36858,2652,2828,2828
CDL05F,5/3/2020,Candelaria,Plume,CDL05,Bottom,Dry,14.2,50724.7,3.373,89.2,6.04,32.65,49905.6,283.23,25.859,18.70432,-91.36842,2668,2840,2840
CDL06S,5/3/2020,Candelaria,Plume,CDL06,Surface,Dry,0.92,16691.1,0.453,95.9,6.99,8.94,15429.1,5.5,29.283,18.61007,-91.2441,2737,2933,2933
CDL06F,5/3/2020,Candelaria,Plume,CDL06,Bottom,Dry,1.87,22443.9,1.199,92.4,6.64,12.39,20822.3,11.58,29.078,18.61005,-91.244,2636,2833,
CDL07S,5/3/2020,Candelaria,Coast,CDL07,Surface,Dry,1.42,50230.3,0.443,98,6.55,31.58,48479.5,8.4,26.891,18.76266,-91.41798,2792,2977,2977
CDL07F,5/3/2020,Candelaria,Coast,CDL07,Bottom,Dry,2.59,50220.5,1.131,97.8,6.54,31.58,48482.6,24.6,26.877,18.76274,-91.41786,2753,2992,2992
CDL08S,5/3/2020,Candelaria,Coast,CDL08,Surface,Dry,1.07,56590.8,0.5,98.7,6.49,36.65,55320.2,5.25,26.202,18.79019,-91.5124,2429,2650,2650
CDL08F,5/3/2020,Candelaria,Coast,CDL08,Bottom,Dry,2.73,57305.9,4.844,98.2,6.47,37.53,56487.3,8.22,25.759,18.78962,-91.51148,2459,2659,2659
CDL09S,5/3/2020,Candelaria,Coast,CDL09,Surface,Dry,1.04,57148,0.629,98.7,6.49,37.25,56114.6,3.65,25.964,18.81618,-91.53129,2467,2649,2649
CDL09F,5/3/2020,Candelaria,Coast,CDL09,Bottom,Dry,2.57,57652.3,8.183,99.3,6.61,38.65,57939.3,4.63,24.741,18.81641,-91.53098,2305,2500,2500
PLZ01S,4/3/2020,Palizada,River,PLZ01,Surface,Dry,6.39,698.9,0.533,95.9,7.66,0.33,676.2,23.56,26.757,18.42404,-91.84,3315,3195,3195
PLZ01F,4/3/2020,Palizada,River,PLZ01,Bottom,Dry,8.07,698.4,5.435,94.6,7.57,0.33,676.4,26.32,26.709,18.42403,-91.83997,3338,3216,3216
PLZ02S,4/3/2020,Palizada,River,PLZ02,Surface,Dry,5.76,1023.2,0.318,92.6,7.33,0.48,981.6,27.05,27.221,18.45095,-91.81013,3407,3221,3221
PLZ02F,4/3/2020,Palizada,River,PLZ02,Bottom,Dry,7.28,1154.4,0.624,90.2,7.17,0.55,1111.6,48.55,27.016,18.45096,-91.81015,3222,3223,3223
PLZ03S,4/3/2020,Palizada,River,PLZ03,Surface,Dry,2.57,4599.4,0.349,91.1,7.18,2.36,4440.7,26.52,26.871,18.4866,-91.79567,3180,3105,3105
PLZ03F,4/3/2020,Palizada,River,PLZ03,Bottom,Dry,2.92,4638.7,5.256,89.8,7.08,2.38,4481.7,27.52,26.835,18.4866,-91.79569,3162,3090,3090
PLZ04S,4/3/2020,Palizada,Plume,PLZ04,Surface,Dry,2.62,14471.7,0.418,101.1,7.6,7.9,13733.7,9.68,27.813,18.49965,-91.78983,3048,3002,3002
PLZ04F,4/3/2020,Palizada,Plume,PLZ04,Bottom,Dry,30.88,35722.5,1.306,97,6.93,21.94,34933.6,336.87,26.182,18.49963,-91.78983,3007,3060,
PLZ05S,4/3/2020,Palizada,Plume,PLZ05,Surface,Dry,3.37,44859.7,0.346,99,6.86,28.49,44185.1,20.62,25.799,18.53635,-91.79076,2694,2878,2878
PLZ05F,4/3/2020,Palizada,Plume,PLZ05,Bottom,Dry,10.74,44668.5,3.019,97.5,6.78,28.5,44191.6,130.28,25.565,18.53635,-91.79074,2817,2814,2814
PLZ06S,4/3/2020,Palizada,Plume,PLZ06,Surface,Dry,4.26,47614.6,0.428,101.4,6.94,30.38,46801.9,33.84,25.909,18.5621,-91.79971,2670,2755,2755
PLZ06F,4/3/2020,Palizada,Plume,PLZ06,Bottom,Dry,12.19,46978.4,3.371,21.6,1.48,30.08,46378.2,172.26,25.677,18.56095,-91.79879,2794,2958,2958
PLZ07S,4/3/2020,Palizada,Coast,PLZ07,Surface,Dry,5.16,49775.6,0.617,99.8,6.78,32.02,49044.1,60.99,25.781,18.59128,-91.82703,2627,2737,2737
PLZ07F,4/3/2020,Palizada,Coast,PLZ07,Bottom,Dry,7.38,49747.9,3.579,99,6.73,31.98,48999.8,196.98,25.799,18.58909,-91.82693,2698,3726,3726
PLZ08S,4/3/2020,Palizada,Coast,PLZ08,Surface,Dry,5.35,52626.9,0.719,101.5,6.81,33.99,51732.6,28.16,25.905,18.63975,-91.86967,2628,2715,2715
PLZ08F,4/3/2020,Palizada,Coast,PLZ08,Bottom,Dry,10.02,54180.3,5.247,101,6.73,35.16,53313.2,579.01,25.852,18.6387,-91.86841,2616,3616,3616
PLZ09S,4/3/2020,Palizada,Coast,PLZ09,Surface,Dry,3.46,55816.2,0.432,105.4,6.94,36.02,54478.1,35.62,26.286,18.66718,-91.90111,2501,2635,2635
PLZ09F,4/3/2020,Palizada,Coast,PLZ09,Bottom,Dry,8.14,55518.1,3.906,103.3,6.83,35.92,54336.9,358.77,26.138,18.6653,-91.90082,2500,3646,3646
CDL01S,26/11/2020,Candelaria,River,CDL01,Surface,Rainy,2.52,760.1,0.558,67.8,5.43,0.36,736.7,2.37,26.67,18.55681,-91.25012,2958,2847,2847
CDL01F,26/11/2020,Candelaria,River,CDL01,Bottom,Rainy,2.49,763.6,3.302,66.1,5.3,0.36,740.7,2.72,26.618,18.55674,-91.25021,2965,2841,2841
CDL02S,26/11/2020,Candelaria,River,CDL02,Surface,Rainy,2.31,777.7,0.556,67.5,5.39,0.36,751.9,3.29,26.801,18.60981,-91.24462,2965,2860,2860
CDL02F,26/11/2020,Candelaria,River,CDL02,Bottom,Rainy,2.31,778.6,1.827,66.8,5.34,0.37,752.9,3.63,26.787,18.60986,-91.24459,2973,2865,
CDL03S,26/11/2020,Candelaria,River,CDL03,Surface,Rainy,6.87,13814.4,0.256,72,5.45,7.56,13182.4,9.64,27.51,18.62985,-91.29398,2528,2501,2501
CDL04S,26/11/2020,Candelaria,Plume,CDL04,Surface,Rainy,4.36,15360.9,0.468,108.3,8.12,8.43,14584,3.53,27.789,18.68223,-91.3494,2357,2438,2438
CDL04F,26/11/2020,Candelaria,Plume,CDL04,Bottom,Rainy,7.44,37445.1,2.808,9.6,0.67,22.6,35908,203.05,27.241,18.68232,-91.34964,2233,2359,2359
CDL05S,26/11/2020,Candelaria,Plume,CDL05,Surface,Rainy,5.05,16092.3,0.575,108,8.1,8.89,15320.7,3.65,27.637,18.71439,-91.37791,2348,2428,2428
CDL05F,26/11/2020,Candelaria,Plume,CDL05,Bottom,Rainy,9.11,24591.8,2.888,30.6,2.21,14.16,23487.8,59.78,27.461,18.71432,-91.3782,2425,2542,2542
CDL06S,26/11/2020,Candelaria,Plume,CDL06,Surface,Rainy,3.71,17193.7,0.525,105.7,7.9,9.57,16398.7,3.54,27.538,18.74056,-91.40433,2302,2409,2409
CDL07S,26/11/2020,Candelaria,Coast,CDL07,Surface,Rainy,3.09,22135.8,0.463,104.6,7.66,12.54,21014.4,5.84,27.794,18.75769,-91.42616,2361,2415,2415
CDL07F,26/11/2020,Candelaria,Coast,CDL07,Bottom,Rainy,4.55,22051.1,0.939,105.5,7.75,12.52,20987.7,6.4,27.653,18.75773,-91.42627,2336,2417,2417
CDL08S,26/11/2020,Candelaria,Coast,CDL08,Surface,Rainy,4.23,53283.8,0.525,85.1,5.6,33.51,51121.4,4.74,27.215,18.78749,-91.51488,2239,2429,2429
CDL08F,26/11/2020,Candelaria,Coast,CDL08,Bottom,Rainy,16.47,59438.3,4.294,79.3,5.1,38.07,57249.5,27.02,27.002,18.78729,-91.51476,2258,2412,2412
CDL09S,26/11/2020,Candelaria,Coast,CDL09,Surface,Rainy,3.55,55021.5,0.648,92.4,6.06,34.78,52847.5,3.46,27.154,18.82127,-91.5383,2186,2418,2418
CDL09F,26/11/2020,Candelaria,Coast,CDL09,Bottom,Rainy,4.63,59988.6,8.558,89.1,5.73,38.56,57893.7,7.34,26.895,18.82178,-91.53869,2152,2412,2412
PLZ01S,25/11/2020,Palizada,River,PLZ01,Surface,Rainy,2.31,381.1,0.307,33.8,2.7,0.17,368.4,28.44,26.811,18.42431,-91.83989,2840,2581,2581
PLZ01F,25/11/2020,Palizada,River,PLZ01,Bottom,Rainy,2.43,380.6,6.903,32.1,2.56,0.17,367.9,77.25,26.799,18.42429,-91.83987,2853,2599,2599
PLZ02S,25/11/2020,Palizada,River,PLZ02,Surface,Rainy,2.73,403.7,0.611,37.1,2.96,0.19,389.7,18.99,26.885,18.45358,-91.80859,2814,2619,2619
PLZ02F,25/11/2020,Palizada,River,PLZ02,Bottom,Rainy,2.74,402.4,1.736,36.5,2.92,0.19,389.4,20.1,26.75,18.45371,-91.80848,2841,2626,2626
PLZ03S,25/11/2020,Palizada,River,PLZ03,Surface,Rainy,2.71,366.3,0.295,65.2,5.18,0.17,351.8,18.81,27.151,18.48593,-91.79574,2590,2442,2442
PLZ03F,25/11/2020,Palizada,River,PLZ03,Bottom,Rainy,3.02,365.9,7.317,64.2,5.09,0.17,351.4,19.19,27.16,18.48594,-91.79573,2581,2430,2430
PLZ04S,25/11/2020,Palizada,Plume,PLZ04,Surface,Rainy,3.01,383.8,0.3,62.1,4.94,0.18,369.1,19.69,27.087,18.50191,-91.79041,2665,2476,
PLZ04F,25/11/2020,Palizada,Plume,PLZ04,Bottom,Rainy,5.39,1938.3,1.19,8.5,0.67,0.94,1864.3,143.7,27.079,18.50268,-91.79163,2618,2473,2473
PLZ05S,25/11/2020,Palizada,Plume,PLZ05,Surface,Rainy,2.79,11770.8,0.515,84.4,6.41,6.33,11190.9,12.63,27.712,18.53464,-91.78764,2343,2358,2358
PLZ05F,25/11/2020,Palizada,Plume,PLZ05,Bottom,Rainy,3.7,35350.7,3.106,65.4,4.63,21.37,34129.7,58.79,26.873,18.53508,-91.78828,2400,2611,2611
PLZ06S,25/11/2020,Palizada,Plume,PLZ06,Surface,Rainy,3.81,15860.1,0.431,97.2,7.33,8.8,15174.6,6.96,27.365,18.55977,-91.79816,2305,2357,2357
PLZ06F,25/11/2020,Palizada,Plume,PLZ06,Bottom,Rainy,13.37,33601.9,3.535,23.5,1.68,20.18,32406.7,190.21,26.931,18.56022,-91.79916,2330,2495,2495
PLZ07S,25/11/2020,Palizada,Coast,PLZ07,Surface,Rainy,3.77,16411.3,0.531,100.5,7.57,9.15,15720.7,6.28,27.3,18.58849,-91.82999,2292,2366,2366
PLZ07F,25/11/2020,Palizada,Coast,PLZ07,Bottom,Rainy,4.01,16715.5,2.223,96.9,7.32,9.38,16078.5,6.13,27.074,18.58851,-91.83054,2291,2361,2361
PLZ08S,25/11/2020,Palizada,Coast,PLZ08,Surface,Rainy,5.36,16713,0.558,94.3,7.09,9.28,15934.6,9.72,27.558,18.64085,-91.87127,2348,2376,2376
PLZ08F,25/11/2020,Palizada,Coast,PLZ08,Bottom,Rainy,5.48,42762.2,4.725,75.5,5.2,26.4,41295.9,21.45,26.859,18.64137,-91.87211,2330,2484,2484
PLZ09S,25/11/2020,Palizada,Coast,PLZ09,Surface,Rainy,5.18,17100.9,0.42,95.2,7.11,9.5,16287.1,9.5,27.616,18.66834,-91.90179,2336,2376,2376
PLZ09F,25/11/2020,Palizada,Coast,PLZ09,Bottom,Rainy,7.85,49355.4,3.593,72.8,4.89,31.03,47721.9,130.76,26.792,18.66864,-91.90218,2354,3498,3498
CDL01S,9/2/2021,Candelaria,River,CDL01,Surface,Dry,2.74,1456.9,0.18,101,8.03,0.7,1405.8,6.86,26.911,18.55908,-91.25029,4278,4295,4295
CDL01F,9/2/2021,Candelaria,River,CDL01,Bottom,Dry,3.8,1422.8,1.902,95.1,7.7,0.7,1399.3,259.85,25.878,18.55912,-91.25026,4324,4307,4307
CDL02S,9/2/2021,Candelaria,River,CDL02,Surface,Dry,1.97,1724.6,0.116,105.4,8.25,0.82,1639.8,4.37,27.708,18.6099,-91.246,4283,4265,4265
CDL02F,9/2/2021,Candelaria,River,CDL02,Bottom,Dry,2.82,1708.4,3.057,95.9,7.65,0.83,1654.4,10.73,26.709,18.6099,-91.24606,4295,4286,4286
CDL03S,9/2/2021,Candelaria,River,CDL03,Surface,Dry,2.07,35096.8,0.84,122.2,8.63,21.1,33745.2,3.3,27.084,18.62829,-91.29028,2745,2975,2975
CDL03F,9/2/2021,Candelaria,River,CDL03,Bottom,Dry,3.05,37479.9,2.143,139.3,9.86,23.04,36507.3,8.14,26.395,18.62741,-91.2896,2801,2999,2999
CDL04S,9/2/2021,Candelaria,Plume,CDL04,Surface,Dry,1.65,32803.3,0.138,119.8,8.47,19.34,31199.8,1.4,27.691,18.677,-91.34597,2830,3035,3035
CDL04F,9/2/2021,Candelaria,Plume,CDL04,Bottom,Dry,5.98,52633.4,2.689,174.1,11.66,33.89,51597.5,34.52,26.051,18.67695,-91.34581,2392,2682,2682
CDL05S,9/2/2021,Candelaria,Plume,CDL05,Surface,Dry,1.22,36624.7,0.105,118.7,8.37,22.22,35346.5,0.88,26.884,18.70848,-91.36728,2641,2880,2880
CDL05F,9/2/2021,Candelaria,Plume,CDL05,Bottom,Dry,1.82,41603.4,2.536,136.4,9.54,26.03,40751.2,1.43,26.095,18.70848,-91.36724,2475,2758,2758
CDL06S,9/2/2021,Candelaria,Plume,CDL06,Surface,Dry,5.65,41652.2,0.118,119,8.27,25.8,40433.1,35.01,26.579,18.73767,-91.41089,2614,2803,
CDL06F,9/2/2021,Candelaria,Plume,CDL06,Bottom,Dry,150.9,38770.5,1.631,16.9,1.19,23.87,37695.9,577.81,26.493,18.73763,-91.41079,2641,2799,2799
CDL07S,9/2/2021,Candelaria,Coast,CDL07,Surface,Dry,4.8,42983.2,0.13,110.2,7.73,27.35,42581.9,45.49,25.493,18.76274,-91.45085,2554,2790,2790
CDL07F,9/2/2021,Candelaria,Coast,CDL07,Bottom,Dry,17.63,41081.4,0.768,98.5,6.96,26,40687.6,2422.93,25.507,18.76262,-91.45032,2566,2769,2769
CDL08S,9/2/2021,Candelaria,Coast,CDL08,Surface,Dry,1.98,47069.4,0.267,109.5,7.57,30.37,46765.9,7.83,25.34,18.78913,-91.51546,2450,2668,2668
CDL08F,9/2/2021,Candelaria,Coast,CDL08,Bottom,Dry,8.24,56694.3,4.624,101,6.77,38.05,57137.9,41.75,24.594,18.7884,-91.51482,2521,2611,2611
CDL09S,9/2/2021,Candelaria,Coast,CDL09,Surface,Dry,1.66,48481.3,0.28,112.1,7.69,31.29,48036.7,5.57,25.485,18.82035,-91.53874,2448,2683,2683
CDL09F,9/2/2021,Candelaria,Coast,CDL09,Bottom,Dry,3.13,57516.2,4.932,103.7,6.94,38.78,58105,5.21,24.47,18.82162,-91.53921,2289,2532,2532
PLZ01S,10/2/2021,Palizada,River,PLZ01,Surface,Dry,2.49,664.2,0.321,87.7,7.1,0.32,651.8,39.94,25.998,18.42503,-91.83982,3592,3507,3507
PLZ01F,10/2/2021,Palizada,River,PLZ01,Bottom,Dry,3.03,664.5,5.234,85.9,6.95,0.32,651.6,64.57,26.04,18.42503,-91.83986,3578,3499,3499
PLZ02S,10/2/2021,Palizada,River,PLZ02,Surface,Dry,2.83,668.3,0.278,88.7,7.12,0.31,649.3,42.18,26.532,18.45168,-91.80981,3636,3512,3512
PLZ02F,10/2/2021,Palizada,River,PLZ02,Bottom,Dry,3.71,682.6,0.756,7,0.57,0.32,666.9,135.37,26.233,18.45178,-91.80981,3500,3451,3451
PLZ03S,10/2/2021,Palizada,River,PLZ03,Surface,Dry,2.55,13.8,0.109,111.4,9.12,0,13.7,2.51,25.542,18.48526,-91.79574,3602,3495,3495
PLZ03F,10/2/2021,Palizada,River,PLZ03,Bottom,Dry,4.45,659.3,1.056,107.7,8.61,0.31,638,48.12,26.743,18.48525,-91.79573,3405,3469,3469
PLZ04S,10/2/2021,Palizada,Plume,PLZ04,Surface,Dry,4.39,751.5,0.107,105,8.34,0.35,723.4,45.21,27.038,18.507,-91.79115,3435,3483,
PLZ04F,10/2/2021,Palizada,Plume,PLZ04,Bottom,Dry,6.05,1100,0.546,97.7,7.79,0.52,1063.9,49.1,26.78,18.50698,-91.79117,3456,3453,3453
PLZ05S,10/2/2021,Palizada,Plume,PLZ05,Surface,Dry,3.12,30831.4,0.157,120.6,8.67,18.34,29713.7,8.41,26.957,18.53571,-91.78666,2765,2919,2919
PLZ05F,10/2/2021,Palizada,Plume,PLZ05,Bottom,Dry,16.48,35608.8,2.816,108.4,7.79,22.04,35059.3,1316.3,25.821,18.53617,-91.78713,2676,2861,2861
PLZ06S,10/2/2021,Palizada,Plume,PLZ06,Surface,Dry,1.77,41401.4,0.147,119,8.24,25.48,40001.5,9.46,26.831,18.56194,-91.7989,2539,2791,2791
PLZ06F,10/2/2021,Palizada,Plume,PLZ06,Bottom,Dry,11.53,41510.2,2.869,115.3,8.05,25.88,40543.3,368.07,26.247,18.56189,-91.79906,2557,2788,2788
PLZ07S,10/2/2021,Palizada,Coast,PLZ07,Surface,Dry,2.9,28948.7,0.174,120.1,8.71,17.13,27919.4,10.59,26.93,18.58758,-91.83038,2782,2935,2935
PLZ07F,10/2/2021,Palizada,Coast,PLZ07,Bottom,Dry,8.37,36889.2,2.829,111.1,7.92,22.81,36170.8,56.65,26.04,18.58745,-91.83044,2715,2851,2851
PLZ08S,10/2/2021,Palizada,Coast,PLZ08,Surface,Dry,2.73,37133.6,0.363,119.2,8.39,22.57,35851.5,5.9,26.872,18.64028,-91.86907,2638,2837,2837
PLZ08F,10/2/2021,Palizada,Coast,PLZ08,Bottom,Dry,9.27,39340.8,5.185,111.6,7.89,24.53,38622.9,173,25.973,18.63984,-91.8689,2608,2857,2857
PLZ09S,10/2/2021,Palizada,Coast,PLZ09,Surface,Dry,3.71,37034.5,0.384,122.2,8.62,22.57,35851.9,9.18,26.727,18.66676,-91.90047,2605,2804,2804
PLZ09F,10/2/2021,Palizada,Coast,PLZ09,Bottom,Dry,17.81,43416.8,4.069,72.4,5.06,27.52,42833.8,890.51,25.713,18.66452,-91.90119,2542,2780,2780
