event_id,occurrence_id,measurement_type,measurement_value
GG_GG01R1,CIM-UH_GG_1,Count of biological entity specified elsewhere,4
GG_GG01R1,CIM-UH_GG_2,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_3,Count of biological entity specified elsewhere,2
GG_GG01R1,CIM-UH_GG_4,Count of biological entity specified elsewhere,7
GG_GG01R1,CIM-UH_GG_5,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_6,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_7,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_8,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_9,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_10,Count of biological entity specified elsewhere,6
GG_GG01R1,CIM-UH_GG_11,Count of biological entity specified elsewhere,24
GG_GG01R1,CIM-UH_GG_12,Count of biological entity specified elsewhere,2
GG_GG01R1,CIM-UH_GG_13,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_14,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_15,Count of biological entity specified elsewhere,10
GG_GG01R1,CIM-UH_GG_16,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_17,Count of biological entity specified elsewhere,25
GG_GG01R1,CIM-UH_GG_18,Count of biological entity specified elsewhere,5
GG_GG01R1,CIM-UH_GG_19,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_20,Count of biological entity specified elsewhere,2
GG_GG01R1,CIM-UH_GG_21,Count of biological entity specified elsewhere,2
GG_GG01R1,CIM-UH_GG_22,Count of biological entity specified elsewhere,3
GG_GG01R1,CIM-UH_GG_23,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_24,Count of biological entity specified elsewhere,2
GG_GG01R1,CIM-UH_GG_25,Count of biological entity specified elsewhere,2
GG_GG01R1,CIM-UH_GG_26,Count of biological entity specified elsewhere,2
GG_GG01R1,CIM-UH_GG_27,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_28,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_29,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_30,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_31,Count of biological entity specified elsewhere,4
GG_GG01R1,CIM-UH_GG_32,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_33,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_34,Count of biological entity specified elsewhere,5
GG_GG01R1,CIM-UH_GG_35,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_36,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_37,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_38,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_39,Count of biological entity specified elsewhere,1
GG_GG01R1,CIM-UH_GG_40,Count of biological entity specified elsewhere,2
GG_GG01R1,CIM-UH_GG_41,Count of biological entity specified elsewhere,2
GG_GG01R2,CIM-UH_GG_42,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_43,Count of biological entity specified elsewhere,2
GG_GG01R2,CIM-UH_GG_44,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_45,Count of biological entity specified elsewhere,13
GG_GG01R2,CIM-UH_GG_46,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_47,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_48,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_49,Count of biological entity specified elsewhere,4
GG_GG01R2,CIM-UH_GG_50,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_51,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_52,Count of biological entity specified elsewhere,8
GG_GG01R2,CIM-UH_GG_53,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_54,Count of biological entity specified elsewhere,2
GG_GG01R2,CIM-UH_GG_55,Count of biological entity specified elsewhere,4
GG_GG01R2,CIM-UH_GG_56,Count of biological entity specified elsewhere,33
GG_GG01R2,CIM-UH_GG_57,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_58,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_59,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_60,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_61,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_62,Count of biological entity specified elsewhere,15
GG_GG01R2,CIM-UH_GG_63,Count of biological entity specified elsewhere,3
GG_GG01R2,CIM-UH_GG_64,Count of biological entity specified elsewhere,38
GG_GG01R2,CIM-UH_GG_65,Count of biological entity specified elsewhere,3
GG_GG01R2,CIM-UH_GG_66,Count of biological entity specified elsewhere,4
GG_GG01R2,CIM-UH_GG_67,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_68,Count of biological entity specified elsewhere,3
GG_GG01R2,CIM-UH_GG_69,Count of biological entity specified elsewhere,3
GG_GG01R2,CIM-UH_GG_70,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_71,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_72,Count of biological entity specified elsewhere,1
GG_GG01R2,CIM-UH_GG_73,Count of biological entity specified elsewhere,2
GG_GG01R2,CIM-UH_GG_74,Count of biological entity specified elsewhere,2
GG_GG01R2,CIM-UH_GG_75,Count of biological entity specified elsewhere,1
