Site,Habitat,N_live,N_dead,S_live,S_dead,S_total,N_percent,S_percent
GB09,coral_reef,5,1553,5,181,182,99.6790757381258,99.45054945054946
GB10,seagrass,10,744,5,79,79,98.6737400530504,100.0
GB11,coral_reef,23,1118,6,166,170,97.98422436459246,97.6470588235294
GB12,seagrass,6,355,4,55,58,98.33795013850416,94.82758620689656
GG01,coral_reef,10,364,8,83,86,97.32620320855615,96.51162790697676
GG02,coral_reef,1,139,1,40,40,99.28571428571429,100.0
GG04,coral_reef,17,660,6,142,145,97.48892171344166,97.93103448275862
GG05,seagrass,13,752,6,83,86,98.30065359477123,96.51162790697676
GG06,seagrass,17,576,5,58,61,97.13322091062395,95.08196721311475
GG09,seagrass,26,474,9,71,78,94.8,91.02564102564102
GG14,seagrass,20,378,9,68,73,94.9748743718593,93.15068493150685
